,State,City,Location,Store Type,Address,Endpoint
189,Michigan,Lansing,EASTWOOD T/C,"Gap,GapKids","3000 Towne Centre Blvd ,Lansing, MI 48912-5616",https://www.gap.com/stores/mi/lansing/
190,Michigan,Novi,TWELVE OAKS,"Gap,babyGap,GapKids,GapBody","27482 Novi Road C-243,Novi, MI 48377",https://www.gap.com/stores/mi/novi/
191,Michigan,Troy,SOMERSET COLLECTION,"Gap,babyGap,GapKids","2800 West Big Beaver Rd Suite X355,Troy, MI 48084",https://www.gap.com/stores/mi/troy/
192,Minnesota,Albertville,ALBERTVILLE PREMIUM,Gap Factory Store,"6415 Labeaux Ave Ne Space B180,Albertville, MN 55301-3841",https://www.gap.com/stores/mn/albertville/
193,Minnesota,Albertville,ALBERTVILLE PREMIUM,Gap Factory Store,"6415 Labeaus Ave Ne Space A280,Albertville, MN 55301",https://www.gap.com/stores/mn/albertville/
194,Minnesota,Eagan,TWIN CITIES EAGAN,Gap Factory Store,"3985 Eagan Outlets Parkway Building 500, #545,Eagan, MN 55122",https://www.gap.com/stores/mn/eagan/
195,Minnesota,Edina,SOUTHDALE CENTER,"Gap,babyGap,GapKids,GapBody","1795 Southdale Center ,Edina, MN 55435-7060",https://www.gap.com/stores/mn/edina/
196,Minnesota,Maple Grove,ARBOR LAKES (3206),"Gap,babyGap,GapKids","12129 Elm Creek Blvd. C14,Maple Grove, MN 55369",https://www.gap.com/stores/mn/maplegrove/
197,Minnesota,Minnetonka,Ridgedale Center,"Gap,babyGap,GapKids,GapBody","12325 Wayzata Blvd Ste 1235,Minnetonka, MN 55305",https://www.gap.com/stores/mn/minnetonka/
198,Minnesota,Woodbury,WOODBURY LAKES,"Gap,babyGap,GapKids,GapBody","9000 Hudson Rd ,Woodbury, MN 55125",https://www.gap.com/stores/mn/woodbury/
199,Mississippi,Gulfport,GULFPORT PREMIUM,Gap Factory Store,"10400 Factory Shops Blvd ,Gulfport, MS 39503-4242",https://www.gap.com/stores/ms/gulfport/
200,Mississippi,Pearl,OUTLT OF MISSISSIPPI,Gap Factory Store,"200 Bass Pro Drive ,Pearl, MS 39208",https://www.gap.com/stores/ms/pearl/
201,Mississippi,Southaven,TANGER OUTLT MEMPHIS,Gap Factory Store,"5205 Airways Blvd Suite #950,Southaven, MS 38671",https://www.gap.com/stores/ms/southaven/
202,Missouri,Branson,BRANSON TANGER,Gap Factory Store,"300 Tanger Blvd Suite 510,Branson, MO 65616",https://www.gap.com/stores/mo/branson/
203,Missouri,Chesterfield,ST. LOUIS PREMIUM,Gap Factory Store,"18511 Outlet Blvd Space 860,Chesterfield, MO 63005",https://www.gap.com/stores/mo/chesterfield/
204,Missouri,Richmond Heights,ST LOUIS GALLERIA,"Gap,babyGap,GapKids,GapBody","1178 Saint Louis Galleria Ste 1176,Richmond Heights, MO 63117-1150",https://www.gap.com/stores/mo/richmondheights/
205,Missouri,St Louis,WEST COUNTY CTR,"1969,Gap,babyGap,GapKids,GapBody","62 West County Center ,St Louis, MO 63131",https://www.gap.com/stores/mo/stlouis/
206,Nebraska,Gretna,Nebraska Crossing,Gap Factory Store,"21323 Nebraska Crossing Dr G101,Gretna, NE 68028",https://www.gap.com/stores/ne/gretna/
207,Nebraska,Omaha,VILLAGE POINTE S/C,"Gap,babyGap,GapKids,GapBody","17304 Davenport Street ,Omaha, NE 68118",https://www.gap.com/stores/ne/omaha/
208,Nevada,Las Vegas,LAS VEGAS PREM-SOUTH,Gap Factory Store,"7400 Las Vegas Blvd. South ,Las Vegas, NV 89123",https://www.gap.com/stores/nv/lasvegas/
209,Nevada,Las Vegas,DOWNTOWN SUMMERLIN,"Gap,babyGap,GapKids,GapBody","1820 Festival Plaza Drive Suite 120,Las Vegas, NV 89135",https://www.gap.com/stores/nv/lasvegas/
210,Nevada,Las Vegas,LAS VEGAS PREM-NORTH,Gap Factory Store,"795 S. Grand Central Parkway Suite 2287,Las Vegas, NV 89106",https://www.gap.com/stores/nv/lasvegas/
211,Nevada,Sparks,SPARKS MARINA LEGEND,Gap Factory Store,"1350 Scheels Drive Unit 162,Sparks, NV 89434",https://www.gap.com/stores/nv/sparks/
212,New Hampshire,Merrimack,MERRIMACK PREMIUM,Gap Factory Store,"80 Premium Outlets Blvd Suite #299,Merrimack, NH 03054",https://www.gap.com/stores/nh/merrimack/
213,New Hampshire,North Conway,SETTLERS GREEN,Gap Factory Store,"13 Settler's Green Space E-10,North Conway, NH 03860",https://www.gap.com/stores/nh/northconway/
214,New Hampshire,Salem,ROCKINGHAM PARK,"Gap,babyGap,GapKids,GapBody","99 Rockingham Park Blv ,Salem, NH 03079",https://www.gap.com/stores/nh/salem/
215,New Hampshire,Tilton,TILTON TANGER,Gap Factory Store,"120 Laconia Rd Ste 102,Tilton, NH 03276",https://www.gap.com/stores/nh/tilton/
216,New Hampshire,West Lebanon,UPPER VALLEY PLAZA,Gap Factory Store,"250 Plainfield Rd ,West Lebanon, NH 03784",https://www.gap.com/stores/nh/westlebanon/
