,State,City,Location,Store Type,Address,Endpoint
279,Pennsylvania,Pittsburgh,ROSS PARK,,"1000 Ross Park Mall Drive Space J456,Pittsburgh, PA 15237",https://bananarepublic.gap.com/stores/pa/pittsburgh/
280,Pennsylvania,Pittsburgh,Walnut St-Shadyside,Shoes,"5542 Walnut Street ,Pittsburgh, PA 15232",https://bananarepublic.gap.com/stores/pa/pittsburgh/
281,Pennsylvania,Pottstown,PHILADELPHIA PREMIUM,"Factory Store,Petites","18 Lightcap Road Ste 327,Pottstown, PA 19464",https://bananarepublic.gap.com/stores/pa/pottstown/
282,Pennsylvania,Tannersville,Pocono Prem Outlets,"Factory Store,Petites","1000 Premium Outlets Drive Ste H-04,Tannersville, PA 18372",https://bananarepublic.gap.com/stores/pa/tannersville/
283,Pennsylvania,Warrington,VALLEY SQUARE,,"1541 Main Street Building 3, Suite 301,Warrington, PA 18976",https://bananarepublic.gap.com/stores/pa/warrington/
284,Pennsylvania,Washington,PITTSBURGH TANGER,"Factory Store,Petites","2200 Tanger Blvd Ste 630,Washington, PA 15301-7920",https://bananarepublic.gap.com/stores/pa/washington/
285,Pennsylvania,Wilkes-barre,ARENA HUB PLAZA,"Factory Store,Women's Only,Men's Only","437 Arena Hub Plz ,Wilkes-barre, PA 18702-6838",https://bananarepublic.gap.com/stores/pa/wilkes-barre/
286,Rhode Island,Cranston,Garden City Center,,"72 Hillside Road ,Cranston, RI 02920",https://bananarepublic.gap.com/stores/ri/cranston/
287,Rhode Island,Newport,THAMES ST - NEWPORT,,"124 Thames Street ,Newport, RI 02840",https://bananarepublic.gap.com/stores/ri/newport/
288,Rhode Island,Providence,Providence Place,Shoes,"21 Providence Place Space B102,Providence, RI 02903",https://bananarepublic.gap.com/stores/ri/providence/
289,South Carolina,Bluffton,HILTON HEAD TANGER,"Factory Store,Petites","1414 Fording Island Road Ste G100,Bluffton, SC 29910-8672",https://bananarepublic.gap.com/stores/sc/bluffton/
290,South Carolina,Greenville,Haywood,,"700 Haywood Rd Space No. 1044,Greenville, SC 29607",https://bananarepublic.gap.com/stores/sc/greenville/
291,South Carolina,Myrtle Beach,MYRTLE BEACH 501,"Factory Store,Women's Only,Men's Only","4635 Factory Stores Blvd ,Myrtle Beach, SC 29579-1219",https://bananarepublic.gap.com/stores/sc/myrtlebeach/
292,South Carolina,Myrtle Beach,MYRTLE BEACH TANGER,"Factory Store,Women's Only,Men's Only","10847 Kings Rd Hwy 17 Ste 120,Myrtle Beach, SC 29572-6075",https://bananarepublic.gap.com/stores/sc/myrtlebeach/
293,South Carolina,North Charleston,CHARLESTON TANGER,Factory Store,"4840 Tanger Outlet Blvd Unit 701,North Charleston, SC 29418-6960",https://bananarepublic.gap.com/stores/sc/northcharleston/
294,Tennessee,Franklin,Cool Springs,Shoes,"1800 Galleria Blvd Ste 1310,Franklin, TN 37067",https://bananarepublic.gap.com/stores/tn/franklin/
295,Tennessee,Germantown,SADDLE CREEK,Shoes,"7615 W Farmington Avenue Suite 18,Germantown, TN 38138-2820",https://bananarepublic.gap.com/stores/tn/germantown/
296,Tennessee,Nashville,MALL AT GREEN HILLS,Baby,"2126 Abbott Martin Road Ste 229,Nashville, TN 37215",https://bananarepublic.gap.com/stores/tn/nashville/
297,Tennessee,Nashville,OPRY MILLS,Factory Store,"240 Opry Mills Dr Ste 648,Nashville, TN 37214-2434",https://bananarepublic.gap.com/stores/tn/nashville/
298,Tennessee,Sevierville,TANGER SEVIERVILLE,"Factory Store,Petites","1645 Parkway Ste 990,Sevierville, TN 37862-6844",https://bananarepublic.gap.com/stores/tn/sevierville/
299,Texas,Allen,ALLEN PREMIUM,"Factory Store,Petites","820 West Stacy Road Ste 116,Allen, TX 75013-4801",https://bananarepublic.gap.com/stores/tx/allen/
300,Texas,Austin,BARTON CREEK,,"2901 S Capital Of Texas Hwy Space B4,Austin, TX 78746",https://bananarepublic.gap.com/stores/tx/austin/
301,Texas,Bee Cave,HILL COUNTRY GALLERI,,"12821 Hill Country Blvd Suite C2-120,Bee Cave, TX 78738",https://bananarepublic.gap.com/stores/tx/beecave/
302,Texas,Canutillo,OUTLT SHOP @ EL PASO,"Factory Store,Petites,Women's Only,Men's Only","7051 S Desert Blvd Ste B201,Canutillo, TX 79835",https://bananarepublic.gap.com/stores/tx/canutillo/
303,Texas,Cypress,HOUSTON PREMIUM,"Factory Store,Petites,Women's Only,Men's Only","29300 Hempstead Road Ste 125,Cypress, TX 77433",https://bananarepublic.gap.com/stores/tx/cypress/
304,Texas,Dallas,NORTHPARK - TX,Baby,"8687 North Central Expressway ,Dallas, TX 75225-2210",https://bananarepublic.gap.com/stores/tx/dallas/
305,Texas,Dallas,Dallas Galleria,"BR Home,Baby,Shoes","13350 Dallas Parkway Suite 2010,Dallas, TX 75240",https://bananarepublic.gap.com/stores/tx/dallas/
306,Texas,Fort Worth,FORT WORTH TANGER,Factory Store,"15821 North Freeway Suite 300,Fort Worth, TX 76177",https://bananarepublic.gap.com/stores/tx/fortworth/
307,Texas,Friendswood,Baybrook,"Shoes,Women's Only,Men's Only","1069 Baybrook Mall Ste 1114,Friendswood, TX 77546",https://bananarepublic.gap.com/stores/tx/friendswood/
308,Texas,Frisco,Stonebriar,Shoes,"2601 Preston Road Ste 1190,Frisco, TX 75034",https://bananarepublic.gap.com/stores/tx/frisco/
309,Texas,Grand Prairie,GRAND PRAIRIE PRIME,"Factory Store,Petites","2950 West Interstate 20 ,Grand Prairie, TX 75052-8079",https://bananarepublic.gap.com/stores/tx/grandprairie/
310,Texas,Grapevine,GRAPEVINE MILLS,"Factory Store,Petites","3000 Grapevine Mills Parkway ,Grapevine, TX 76051",https://bananarepublic.gap.com/stores/tx/grapevine/
311,Texas,Highland Village,HIGHLAND VILLAGE MAR,Shoes,"4141 Waller Creek Ste 105,Highland Village, TX 75077",https://bananarepublic.gap.com/stores/tx/highlandvillage/
312,Texas,Houston,Highland Village,Shoes,"3922 Westheimer Rd ,Houston, TX 77027",https://bananarepublic.gap.com/stores/tx/houston/
313,Texas,Houston,Rice Village,"Women's Only,Men's Only","2400 University Blvd Ste 110,Houston, TX 77005",https://bananarepublic.gap.com/stores/tx/houston/
314,Texas,Houston,Houston Galleria,"BR Home,Baby","5135 W Alabama St Ste 5240,Houston, TX 77056",https://bananarepublic.gap.com/stores/tx/houston/
315,Texas,Houston,Memorial City Mall,Baby,"303 Memorial City Way Ste 750,Houston, TX 77024-2598",https://bananarepublic.gap.com/stores/tx/houston/
316,Texas,Katy,KATY MILLS,"Factory Store,Petites","5000 Katy Mills Circle Ste 258,Katy, TX 77494-4415",https://bananarepublic.gap.com/stores/tx/katy/
317,Texas,Laredo,OUTLT SHOP @ LAREDO,Factory Store,"1500 Water Street Suite B595,Laredo, TX 78040",https://bananarepublic.gap.com/stores/tx/laredo/
318,Texas,Mcallen,La Plaza,"Baby,Shoes","2200 South 10th Street Ste M10,Mcallen, TX 78503",https://bananarepublic.gap.com/stores/tx/mcallen/
319,Texas,Mercedes,RIO GRANDE VALLEY,"Factory Store,Petites,Women's Only,Men's Only","5001 E Expressway 93 Ste 507,Mercedes, TX 78570-4580",https://bananarepublic.gap.com/stores/tx/mercedes/
320,Texas,Round Rock,ROUND ROCK PREMIUM,"Factory Store,Petites","4401 North Interstate Highway 35 Ste 599,Round Rock, TX 78664",https://bananarepublic.gap.com/stores/tx/roundrock/
321,Texas,San Antonio,LA CANTERA,,"15900 La Cantera Parkway Space #2205,San Antonio, TX 78256",https://bananarepublic.gap.com/stores/tx/sanantonio/
322,Texas,San Antonio,Quarry Crossing,Shoes,"7322 Jones Maltsberger Road Ste 164,San Antonio, TX 78209",https://bananarepublic.gap.com/stores/tx/sanantonio/
323,Texas,San Marcos,SAN MARCOS PREMIUM,"Factory Store,Petites,Women's Only,Men's Only","3939 Ih-35 South Ste 900,San Marcos, TX 78666-5977",https://bananarepublic.gap.com/stores/tx/sanmarcos/
324,Texas,San Marcos,SAN MARCOS TANGER,"Factory Store,Petites,Women's Only,Men's Only","4015 S Interstate Hwy 35 Ste 335,San Marcos, TX 78666-5960",https://bananarepublic.gap.com/stores/tx/sanmarcos/
325,Texas,Southlake,SOUTHLAKE T/SQ,Shoes,"101 Grand Avenue ,Southlake, TX 76092",https://bananarepublic.gap.com/stores/tx/southlake/
326,Texas,Sugar Land,First Colony,,"16535 Southwest Fwy Ste 720,Sugar Land, TX 77479-2321",https://bananarepublic.gap.com/stores/tx/sugarland/
327,Texas,Texas City,Houston Tanger BRFS,Factory Store,"5885 Gulf Freeway Ste 801,Texas City, TX 77591",https://bananarepublic.gap.com/stores/tx/texascity/
328,Texas,Woodlands,Woodlands Mall - TX,"Shoes,Women's Only,Men's Only","1201 Lake Woodlands Dr. 3000,Woodlands, TX 77380",https://bananarepublic.gap.com/stores/tx/woodlands/
329,Utah,Lehi,TRAVERSE MOUNTAIN,"Factory Store,Petites,Women's Only,Men's Only","3700 North Cabelas Blvd Ste 155,Lehi, UT 84043-3874",https://bananarepublic.gap.com/stores/ut/lehi/
330,Utah,Murray,FASHION PLACE,,"6191 S State Street Ste 221,Murray, UT 84107",https://bananarepublic.gap.com/stores/ut/murray/
331,Utah,Park City,PARK CITY,"Factory Store,Petites,Women's Only,Men's Only","6699 Landmark Dr Space K-100,Park City, UT 84098",https://bananarepublic.gap.com/stores/ut/parkcity/
332,Utah,Salt Lake City,City Creek - BR,Shoes,"50 South Main Street Suite 263,Salt Lake City, UT 84101",https://bananarepublic.gap.com/stores/ut/saltlakecity/
333,Vermont,Burlington,Brook's Drugs Bldg,Shoes,"56 Church Street ,Burlington, VT 05401",https://bananarepublic.gap.com/stores/vt/burlington/
334,Virginia,Arlington,FASHION CTR/PENTAGON,,"1100 South Hayes Street Space F9 A,Arlington, VA 22202-4907",https://bananarepublic.gap.com/stores/va/arlington/
