Unnamed: 0,Review_ID,Review_Text,Filled_Stars,Review_Time,filename
4,ChdDSUhNMG9nS0VJQ0FnSUNvdWUtdmh3RRAB,Great deals and nice quality clothing for the price. Love the clearance section. The quality of the jewlery isn't all that great though. Wish they had better quality jewlery for a higher price.,5,2019,Massachusetts_Millbury_SHOPS@BLACKSTONE VLL.csv
5,ChdDSUhNMG9nS0VJQ0FnSUNtMWVxQmx3RRAB,They always have sales. Good quality clothes!,4,2023,Massachusetts_Millbury_SHOPS@BLACKSTONE VLL.csv
6,ChZDSUhNMG9nS0VJQ0FnSURveDdIX1d3EAE,Great staff. Great atmosphere. Ok prices ..but you get what you pay for so I am very satisfied.,5,2019,Massachusetts_Millbury_SHOPS@BLACKSTONE VLL.csv
7,ChZDSUhNMG9nS0VJQ0FnSUNBNkl6Y0JREAE,"Great selection, staff are very friendly, and lots of savings and discounts. I would recommend anyone to shop for casual and dress attire.",5,2017,Massachusetts_Millbury_SHOPS@BLACKSTONE VLL.csv
8,ChdDSUhNMG9nS0VJQ0FnSUNTa19YbWdRRRAB,Fantastic prices and an amazing selection! The staff is awesome too!,5,2021,Massachusetts_Millbury_SHOPS@BLACKSTONE VLL.csv
9,ChdDSUhNMG9nS0VJQ0FnSUQtcU1xWnRRRRAB,Nice selection. Great clearance.,5,2023,Massachusetts_Millbury_SHOPS@BLACKSTONE VLL.csv
0,ChdDSUhNMG9nS0VJQ0FnSURwdUptLS1BRRAB,"Jane is an absolute DOLL!! She signed my mother up for her credit card, was extremely attentive, knowledgeable and just overall kind!  Every time I go to the BR in Natick I make sure to say HI to Jane! Thank you!!",5,2023,Massachusetts_Natick_Natick Mall.csv
1,ChZDSUhNMG9nS0VJQ0FnSURwcTdqNlVBEAE,"Great selection of classics and modern wear.   Customer service at this location is superb, associates are very helpful with recommendations.  I highly recommend shopping here",5,2023,Massachusetts_Natick_Natick Mall.csv
2,ChZDSUhNMG9nS0VJQ0FnSUQtMHFlMVBBEAE,"I‘ve been to this particular store a few times and the staff was always top notch. Even when I looked like a mess after having been to the lake, I got treated well and the same as when I was all dressed up. …",5,2023,Massachusetts_Natick_Natick Mall.csv
3,ChdDSUhNMG9nS0VJQ0FnSUR5MHZ5WmdBRRAB,"The service was questionable. Two sales women greeted us. The store was empty. We were followed and watched while we shopped. We felt so uncomfortable. If I file a complaint, I bet the sales women will say it was a misunderstanding, that …",1,2021,Massachusetts_Natick_Natick Mall.csv
4,ChZDSUhNMG9nS0VJQ0FnSUQybVlmZlNBEAE,I love shopping at this store. I just did my spring shopping there and I got amazing outfits. Everyone working there are really friendly. Arzu was very attentive and very helpful. I recommend this store to everyone.,5,2022,Massachusetts_Natick_Natick Mall.csv
5,ChdDSUhNMG9nS0VJQ0FnSURHcDVEdzNnRRAB,"I went there last week, and I got very good stuff from this store. I like the quality and the style. The customer service is excellent. I got help from the manager and the sale associate. Highly recommend this store.",5,2022,Massachusetts_Natick_Natick Mall.csv
6,ChZDSUhNMG9nS0VJQ0FnSURLOVpDSU9REAE,"Just your typical BR. Went there looking for some dress shirts. Didn't find anything I liked, which is odd because most of my shirts etc are from BR. Guess this year not liking their styles/colors.",4,2021,Massachusetts_Natick_Natick Mall.csv
7,ChZDSUhNMG9nS0VJQ0FnSUNBNXIzR2JnEAE,"Preppy store with the best pants. Store floor assistant Packy was able to help me shop for my grandkids this Xmas. He was everything I wish my kids were and more, such a dashing and energetic young chap!",5,2018,Massachusetts_Natick_Natick Mall.csv
8,ChZDSUhNMG9nS0VJQ0FnSUNKcnFqV1hBEAE,Found the perfect tie here!,5,2023,Massachusetts_Natick_Natick Mall.csv
9,ChZDSUhNMG9nS0VJQ0FnSUNPdGVLRlFnEAE,Had a great experience with an online return there. Ben was very helpful!,5,2022,Massachusetts_Natick_Natick Mall.csv
0,ChdDSUhNMG9nS0VJQ0FnSURBdzlmRGxRRRAB,I really like thier nice assortment on clothing. I just don't like that their pants and trousers don't cater to people with big thighs or muscular ones like mine. Nice ambiance and the workers are generally ok.,3,2017,Massachusetts_Somerville_ASSEMBLY ROW.csv
1,ChdDSUhNMG9nS0VJQ0FnSURwa29UNS1RRRAB,EXPENSIVE CLOTHES- BAGGY AND ILL FITTED..CLOTH IS GOOD BUT DECEPTIVE.....SIZING IS SO OFF..THE STORES ARE ALMOST EMPTY..ALL SALES BECAUSE THE TAILORING IS SO POORLY DONE...HAD TO RETURN SEVERAL ITEMS AS THEY HUNG HEAVY LIKE RUGS....looks great in ads-but poor-poor quality...,1,2023,Massachusetts_Somerville_ASSEMBLY ROW.csv
2,ChZDSUhNMG9nS0VJQ0FnSUNwcllEMWRnEAE,"The variety is less but the cloth quality is good.
The costs are way too high even after discount",4,2023,Massachusetts_Somerville_ASSEMBLY ROW.csv
3,ChZDSUhNMG9nS0VJQ0FnSURobF9tNmN3EAE,"Clean, great staff, and very friendly. The majority of my clothes are from BR factory, and these folks are always happy to help.",5,2023,Massachusetts_Somerville_ASSEMBLY ROW.csv
4,ChZDSUhNMG9nS0VJQ0FnSUNCdzdpMUNBEAE,The woman in cashier should be fired. Working unfriendly and using the airpods during handling the customer. Not saying thank you and proper greeting to customer. We do really love banana republic but it got ruined by only the unfriendly employee.,1,2023,Massachusetts_Somerville_ASSEMBLY ROW.csv
5,ChdDSUhNMG9nS0VJQ0FnSURPeS1tbXFnRRAB,i will never recover from my horrible experience with an employee named krystal. i came here while on a vacation with my husband so i'm not from around here but krystal  seems like a privileged white woman with a superiority complex. i can …,1,2022,Massachusetts_Somerville_ASSEMBLY ROW.csv
6,ChZDSUhNMG9nS0VJQ0FnSURXMDRfOFZREAE,Yesterday I had the Ultimate experience with this young adorable manager named Brendan. He was so nice and so hunble. I was looking for a Mens V Neck shirt and he happen to have one on so I told him I wanted the same one. Not only did he …,5,2022,Massachusetts_Somerville_ASSEMBLY ROW.csv
7,ChZDSUhNMG9nS0VJQ0FnSUNScGJXNE9BEAE,Friendly staff.  Store is newer and well maintained.,5,2023,Massachusetts_Somerville_ASSEMBLY ROW.csv
8,ChdDSUhNMG9nS0VJQ0FnSUNPejZxeDFBRRAB,"Very good costumer services. I had a problem with returning products. And there was a girl named Amanda if I remember correctly. Very patient, kind, and helpful!",5,2022,Massachusetts_Somerville_ASSEMBLY ROW.csv
9,ChdDSUhNMG9nS0VJQ0FnSURJZzZhbTlBRRAB,"Decent selection. Wish they had a wider selection of dress shirts. I am an avid BR guy, I am loyal to the brand. Despite the slim selection of dress shirts, the prices are great however. They have a wide selection on Chinos, sweaters, and I love their hoodies!",3,2019,Massachusetts_Somerville_ASSEMBLY ROW.csv
0,ChdDSUhNMG9nS0VJQ0FnSUNRbXB1Nl9BRRAB,"This business known as Banana Republic Factory is one of my favorite shopping experiences. I really like the designed quality of the clothing, shoes and accessories but, I really enjoy the savings of $money$ even more. I've been a fan too …",5,2018,Massachusetts_Wrentham_WRENTHAM VILLAGE.csv
1,ChdDSUhNMG9nS0VJQ0FnSUNBejVmYm1RRRAB,"Great clothing, the staff is friendly and the sales are very good.",5,2019,Massachusetts_Wrentham_WRENTHAM VILLAGE.csv
2,ChZDSUhNMG9nS0VJQ0FnSUR1dC1TMGRBEAE,"As usual, all the sales associates were very professional, helpful and courteous. The cashier #3250188 at Wrentham Village was delightful and took the time to review the rewards program with me. Great job and excellent service! ⭐🌟🌟🌟🌟 …",5,2022,Massachusetts_Wrentham_WRENTHAM VILLAGE.csv
3,ChdDSUhNMG9nS0VJQ0FnSUN5cF9mRzZ3RRAB,"Went shopping for an upcoming trip.  Saw these gorgeous flare bottom jeans in window, pulled me straight in. As soon as I enter Michelle, the store at manager,  was folding some amazing sweaters(which I now proudly own in navy blue) and she …",5,2021,Massachusetts_Wrentham_WRENTHAM VILLAGE.csv
4,ChZDSUhNMG9nS0VJQ0FnSUNlODlxaENREAE,While I love their clothing and the quality is excellent but this store seems like it's half empty. I don't know if their focusing their inventory online only but the store really seems empty.,3,2022,Massachusetts_Wrentham_WRENTHAM VILLAGE.csv
5,ChdDSUhNMG9nS0VJQ0FnSURxeHBqY2dBRRAB,Bought a white linen shirt for a wedding but realized that morning the security tag was still on it. The manager sent a return label and then once they received it they put it back on the floor and sold it. They still have not sent anything for the inconvenience nor refunded the money. Terrible customer service here.,1,2021,Massachusetts_Wrentham_WRENTHAM VILLAGE.csv
6,ChdDSUhNMG9nS0VJQ0FnSUNBOVBTT3VBRRAB,"The store was crowded as always. The men's  shirts and pants styles available were fewer than before. However, the fitting rooms seem to have been updated and handled much better. They were giving away $5 just for trying out pants.
Overall, I appreciated the quicker than usual in and out of the store.",4,2018,Massachusetts_Wrentham_WRENTHAM VILLAGE.csv
7,ChdDSUhNMG9nS0VJQ0FnSUMtXzliMGlBRRAB,"One of my favorite stores at the outlet, great staff and collection.",5,2023,Massachusetts_Wrentham_WRENTHAM VILLAGE.csv
